iter	Passed	Remaining
888	1691	211
889	1693	209
890	1695	207
891	1697	205
892	1698	203
893	1700	201
894	1701	199
895	1703	197
896	1704	195
897	1706	193
898	1707	191
899	1709	189
900	1711	188
901	1712	186
902	1714	184
903	1715	182
904	1716	180
905	1718	178
906	1719	176
907	1721	174
908	1722	172
909	1724	170
910	1726	168
911	1727	166
912	1728	164
913	1730	162
914	1731	160
915	1733	158
916	1734	157
917	1736	155
918	1737	153
919	1739	151
920	1741	149
921	1742	147
922	1744	145
923	1745	143
924	1746	141
925	1748	139
926	1749	137
927	1751	135
928	1752	133
929	1754	132
930	1755	130
931	1757	128
932	1758	126
933	1759	124
934	1761	122
935	1762	120
936	1764	118
937	1765	116
938	1767	114
939	1769	112
940	1770	111
941	1772	109
942	1773	107
943	1775	105
944	1776	103
945	1778	101
946	1779	99
947	1781	97
948	1782	95
949	1783	93
950	1785	92
951	1787	90
952	1788	88
953	1789	86
954	1791	84
955	1793	82
956	1794	80
957	1796	78
958	1797	76
959	1799	74
960	1801	73
961	1802	71
962	1803	69
963	1805	67
964	1806	65
965	1808	63
966	1809	61
967	1810	59
968	1812	57
969	1813	56
970	1815	54
971	1817	52
972	1818	50
973	1819	48
974	1821	46
975	1822	44
976	1824	42
977	1825	41
978	1827	39
979	1828	37
980	1829	35
981	1831	33
982	1832	31
983	1834	29
984	1835	27
985	1837	26
986	1838	24
987	1839	22
988	1841	20
989	1842	18
990	1843	16
991	1845	14
992	1846	13
993	1848	11
994	1849	9
995	1851	7
996	1853	5
997	1854	3
998	1856	1
999	1857	0
